path,type,likely_timeline,likely_stage,purpose,key_evidence,release_grade_evidence,historical_or_exploratory_only,superseded,cite_in_final_paper,caveats,confidence
.gitignore,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/Activate.ps1,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/accelerate,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/accelerate-config,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/accelerate-estimate-memory,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/accelerate-launch,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/accelerate-merge-weights,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/activate,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/activate.csh,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/activate.fish,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/datasets-cli,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/f2py,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/get_gprof,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/get_objgraph,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/hf,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/httpx,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/huggingface-cli,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/idna,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/isympy,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/markdown-it,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/normalizer,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/numpy-config,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/pip,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/pip3,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/pip3.12,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/py.test,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/pygmentize,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/pytest,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/python,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/python3,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/python3.12,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/tiny-agents,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/torchfrtrace,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/torchrun,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/tqdm,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/transformers,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/typer,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/undill,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/bin/wheel,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
.venv-kvpress312/pyvenv.cfg,config,unknown,,Configuration / metadata file.,,False,False,False,False,,low
.venv-kvpress312/share/man/man1/isympy.1,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
Makefile,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
README.md,doc,unknown,,Documentation / supporting note.,,False,False,False,False,,low
benchmarks/prompts/code.jsonl,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
benchmarks/prompts/code_structured.jsonl,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
benchmarks/prompts/core.jsonl,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
benchmarks/prompts/core_v2.jsonl,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
benchmarks/prompts/long_context.jsonl,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
benchmarks/prompts/multilingual.jsonl,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
benchmarks/prompts/reasoning_math.jsonl,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
benchmarks/prompts/retrieval_copy.jsonl,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
benchmarks/prompts/smoke.jsonl,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
benchmarks/prompts/stress.jsonl,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
benchmarks/prompts/structured.jsonl,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
benchmarks/prompts/tool_json.jsonl,unknown,unknown,,Unclassified tracked artifact.,,False,False,False,False,,low
docs/ARCHITECTURE.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/ARTIFACT_INDEX.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,True,,low
docs/BACKEND_ADAPTER_INTERFACE.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/BENCHMARKS.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/BENCHMARK_GAP_ANALYSIS.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/CLAIMS_AUDIT.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/CLAIM_BOUNDARIES.md,report_md,unknown,,Markdown report / design / claim document.,,True,False,False,True,,high
docs/COMPRESSOR_INTERFACE.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/DEFERRED_WORK_REGISTER.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/DEMO_EXACTKV_LIVE_CORRECTION.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/DESIGN_DECISIONS.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/DUAL_CACHE_ABSTRACTION.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/EXACTKV_CRASH_TEST_VIDEO.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/EXACTKV_TECHNICAL_REPORT.md,report_md,unknown,,Markdown report / design / claim document.,,True,False,False,True,,high
docs/EXACTKV_TECHNICAL_REPORT_OUTLINE.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/EXACTKV_TERMINAL_CRASH_TEST.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/EXACTKV_TERMINAL_LONGBENCH_DRIFT.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/EXACTKV_THESIS.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/EXISTING_WORK.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/EXPERIMENTAL_RESTORED_VERIFIER_RUNTIME.md,report_md,unknown,,Markdown report / design / claim document.,,False,False,False,False,,low
docs/EXPERIMENT_001_SMOKE_SWEEP.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_002_CORE_SWEEP.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_003_ASYMMETRIC_KV_SWEEP.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_003_ASYMMETRIC_KV_SWEEP_A40.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
docs/EXPERIMENT_004_WORKSPACE_MEMORY.md,report_md,V-lineage,Experiment (research arc),Markdown report / design / claim document.,,False,True,False,False,,medium
